2023-11-15 20:24:20.673 | INFO     | daifu:<module>:34 - Program Begin
2023-11-15 20:24:39.126 | INFO     | torch._tensor:to:88 - Fault Injected To: (0, 0)
2023-11-15 20:25:03.382 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (0, 0) Fault Recovered
2023-11-15 20:26:47.889 | INFO     | torch._tensor:to:88 - Fault Injected To: (50, 0)
2023-11-15 20:28:59.683 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (50, 0) Fault Recovered
2023-11-15 20:31:11.928 | INFO     | torch._tensor:to:88 - Fault Injected To: (100, 0)
2023-11-15 20:37:59.896 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (100, 0) Fault Recovered
2023-11-15 20:41:09.741 | INFO     | torch._tensor:to:88 - Fault Injected To: (150, 0)
2023-11-15 20:41:24.710 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-15 20:41:24.711 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-15 20:41:34.355 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (150, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-15 20:44:37.073 | INFO     | torch._tensor:to:88 - Fault Injected To: (200, 0)
2023-11-15 20:45:14.608 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (200, 0) Fault Recovered
2023-11-15 20:48:17.157 | INFO     | torch._tensor:to:88 - Fault Injected To: (250, 0)
2023-11-15 20:48:32.391 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-15 20:48:32.392 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-15 20:48:42.170 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (250, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-15 20:51:45.675 | INFO     | torch._tensor:to:88 - Fault Injected To: (300, 0)
2023-11-15 20:52:23.213 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (300, 0) Fault Recovered
2023-11-15 20:55:27.477 | INFO     | torch._tensor:to:88 - Fault Injected To: (350, 0)
2023-11-15 20:55:42.300 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-15 20:55:42.301 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-15 20:55:51.906 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (350, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-15 20:58:52.495 | INFO     | torch._tensor:to:88 - Fault Injected To: (400, 0)
2023-11-15 20:59:30.055 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (400, 0) Fault Recovered
2023-11-15 21:02:31.675 | INFO     | torch._tensor:to:88 - Fault Injected To: (450, 0)
2023-11-15 21:02:46.406 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-15 21:02:46.407 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
2023-11-15 21:02:56.048 | INFO     | torch:fault_injection_scheduler_and_recorder:999 - (450, 0) Fault Not Properly Recovered, Please Use the Default Checkpoint Recovery Time for this Injection
2023-11-15 21:05:59.659 | INFO     | torch._tensor:to:88 - Fault Injected To: (500, 0)
2023-11-15 21:06:36.808 | INFO     | torch:fault_injection_scheduler_and_recorder:997 - (500, 0) Fault Recovered
2023-11-15 21:09:40.264 | INFO     | torch._tensor:to:88 - Fault Injected To: (550, 0)
2023-11-15 21:09:54.994 | ERROR    | __mp_main__:main_worker:237 - Failed to restore checkpoint: PytorchStreamReader failed reading zip archive: failed finding central directory
2023-11-15 21:09:54.994 | INFO     | __mp_main__:main_worker:238 - Give up CheckFreq Resume and Simulate Restart From Default Checkpoint (We Skip the Proper Process to Save Time, Please use the default checkpoint result as reference here)
