2023-12-02 02:30:21.769 | INFO     | daifu:<module>:34 - Program Begin
2023-12-02 02:30:28.968 | INFO     | __main__:main:259 - Program init end
2023-12-02 02:30:28.970 | INFO     | __main__:main:259 - Program init end
2023-12-02 02:30:28.970 | INFO     | __main__:main:259 - Program init end
2023-12-02 02:30:28.971 | INFO     | __main__:main:259 - Program init end
2023-12-02 02:31:29.045 | INFO     | __main__:main:293 - Program start epoch 0
2023-12-02 02:31:32.986 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 0, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:31:32.986 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 0, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:31:32.986 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 0, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:31:32.993 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 0, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:32:51.983 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 20, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:32:51.983 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 20, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:32:51.987 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 20, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:32:51.990 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 20, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:34:11.098 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 40, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:34:11.098 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 40, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:34:11.102 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 40, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:34:11.106 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 40, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:35:30.376 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 60, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:35:30.377 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 60, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:35:30.381 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 60, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:35:30.384 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 60, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:36:49.631 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 80, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:36:49.636 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 80, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:36:49.636 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 80, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:36:49.639 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 80, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:38:08.936 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 100, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:38:08.936 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 100, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:38:08.945 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 100, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:38:08.946 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 100, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:39:28.365 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 120, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:39:28.366 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 120, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:39:28.374 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 120, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:39:28.375 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 120, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:40:47.669 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 140, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:40:47.669 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 140, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:40:47.675 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 140, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:40:47.678 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 140, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:42:06.966 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 160, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:42:06.970 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 160, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:42:06.973 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 160, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:42:06.976 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 160, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:43:26.262 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 180, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:43:26.263 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 180, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:43:26.267 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 180, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:43:26.271 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 180, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:44:45.595 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 200, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:44:45.596 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 200, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:44:45.601 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 200, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:44:45.604 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 200, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:46:04.881 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 220, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:46:04.883 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 220, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:46:04.888 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 220, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:46:04.891 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 220, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:47:24.188 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 240, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:47:24.189 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 240, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:47:24.195 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 240, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:47:24.197 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 240, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:48:43.478 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 260, the process between last checkpoint and this iteration should be repeated for recovery
2023-12-02 02:48:43.479 | INFO     | __main__:main:338 - Simulated Crash and Checkpoint-Retry at iteration 260, the process between last checkpoint and this iteration should be repeated for recovery
